University,Continent,Country,Lat,Long
University of Edinburgh,Europe,United Kingdom,55.94,-3.19
University of Electronic Science and Technology of China,Asia,China,30.68,104.1
University of Erlangen-Nuremberg,Europe,Germany,49.6,11
University of Essex,Europe,United Kingdom,51.88,0.95
University of Exeter,Europe,United Kingdom,50.74,-3.54
University of Ferrara,Europe,Italy,44.83,11.62
University of Florence,Europe,Italy,43.78,11.26
University of Florida,North America,United States of America,29.64,-82.36
University of Freiburg,Europe,Germany,47.99,7.85
University of Fribourg,Europe,Switzerland,46.81,7.15
University of Geneva,Europe,Switzerland,46.2,6.14
University of Genoa,Europe,Italy,44.41,8.93
University of Georgia,North America,United States of America,33.96,-83.37
University of Ghana,Africa,Ghana,5.65,-0.2
University of Glasgow,Europe,United Kingdom,55.87,-4.32
University of Goettingen,Europe,Germany,51.54,9.94
University of Gothenburg,Europe,Sweden,57.7,11.97
University of Granada,Europe,Spain,37.18,-3.6
University of Graz,Europe,Austria,47.08,15.45
University of Greenwich,Europe,United Kingdom,51.48,-0.01
University of Greifswald,Europe,Germany,54.09,13.37
University of Groningen,Europe,Netherlands,53.22,6.56
University of Guelph,North America,Canada,43.53,-80.23
University of Haifa,Asia,Israel,32.76,35.02
University of Hamburg,Europe,Germany,53.57,9.98
University of Hawaii at MaÅnoa,North America,Unisted States of America,21.29,-157.82
University of Helsinki,Europe,Finland,60.17,24.95
University of Hertfordshire,Europe,United Kingdom,51.76,-0.25
University of Hohenheim,Europe,Germany,48.71,9.21
University of Hong Kong,Asia,Hong Kong,22.28,114.13
University of Houston,North America,United States of America,29.72,-95.34
University of Huddersfield,Europe,United Kingdom,53.64,-1.78
University of Hull,Europe,United Kingdom,53.77,-0.37
University of Ibadan,Africa,Nigeria,7.45,3.9
University of Iceland,Europe,Iceland,64.14,-21.95
University of Idaho,North America,United States of America,46.73,-117.02
University of Illinois at Chicago,North America,United States of America,41.87,-87.65
University of Illinois at Urbana-Champaign,North America,United States of America,40.11,-88.23
University of Indonesia,Asia,Indonesia,-6.37,106.83
University of Innsbruck,Europe,Austria,47.26,11.38
University of Ioannina,Europe,Greece,39.62,20.84
University of Iowa,North America,United States of America,41.66,-91.54
University of Jordan,Asia,Jordan,32.01,35.87
University of Jyvaskyla,Europe,Finland,62.24,25.73
University of Kaiserslautern,Europe,Germany,49.43,7.75
University of Kansas,North America,United States of America,38.96,-95.25
University of Kent,Europe,United Kingdom,51.3,1.07
University of Kentucky,North America,United States of America,38.03,-84.51
